geoid,geoName,year,sector,establishments,employment,wages,gdp
25000,Massachusetts,2018,Financial Activities,17528,217971,31473893669,136037200000
25000,Massachusetts,2017,Education and Health Services,62788,1002983,58070167223,67558100000
25000,Massachusetts,2017,Information,5436,97735,10698461701,32201000000
25000,Massachusetts,2020,Leisure and Hospitality,20432,266978,8163097203,18598000000
25000,Massachusetts,2019,Information,6008,99048,12138553052,32492500000
25000,Massachusetts,2016,All Industries Total,246651,3494554,235645655346,519741100000
25000,Massachusetts,2018,All Industries Total,257445,3586034,260369109877,570464200000
25000,Massachusetts,2017,Financial Activities,17293,217411,29551323140,124591000000
25000,Massachusetts,2016,Construction,20604,157542,11375265819,18442300000
25000,Massachusetts,2018,Education and Health Services,67682,1008494,59341993847,69094300000
25000,Massachusetts,2020,Education and Health Services,72562,963027,62654622089,69261500000
25000,Massachusetts,2016,Education and Health Services,58868,988316,55875433800,65360800000
25000,Massachusetts,2016,Information,5141,95143,10064514250,30388900000
25000,Massachusetts,2020,Information,6364,94828,13331078415,34520800000
25000,Massachusetts,2016,Other Services,21576,117767,4279297678,9836100000
25000,Massachusetts,2018,Other Services,21670,120707,4663622659,10771000000
25000,Massachusetts,2016,Professional and Business Services,46878,557063,54329297986,87376700000
25000,Massachusetts,2018,Professional and Business Services,47588,592650,63793193309,101518600000
25000,Massachusetts,2018,Public Administration,4288,137226,10743193869,55704800000
25000,Massachusetts,2020,Public Administration,4242,139944,11662394824,10045600000
25000,Massachusetts,2019,Manufacturing,6682,244258,21909539273,54586300000
25000,Massachusetts,2019,Other Services,22094,122129,4944044934,11435000000
25000,Massachusetts,2017,Trade Transportation and Utilities,43682,606128,31739764701,64810200000
25000,Massachusetts,2019,Financial Activities,17907,219663,32388727098,139688000000
25000,Massachusetts,2017,Leisure and Hospitality,20961,375156,10064507192,21877000000
25000,Massachusetts,2019,Leisure and Hospitality,21009,385893,11394013917,25292300000
25000,Massachusetts,2017,Public Administration,4234,136360,10379735238,53658500000
25000,Massachusetts,2016,Trade Transportation and Utilities,43690,602901,30404420819,61999000000
25000,Massachusetts,2017,Other Services,21727,118949,4414160047,10216900000
25000,Massachusetts,2017,Professional and Business Services,47359,571347,58487761087,94480500000
25000,Massachusetts,2019,Professional and Business Services,48071,611051,69413970969,109677000000
25000,Massachusetts,2019,Public Administration,4325,138403,11201685035,57442700000
25000,Massachusetts,2018,Information,5671,97744,11517113432,30486600000
25000,Massachusetts,2018,Manufacturing,6711,245091,21709210405,53819600000
25000,Massachusetts,2020,Manufacturing,6616,229741,22098781254,54617600000
25000,Massachusetts,2020,Other Services,21977,98993,4592936369,9495000000
25000,Massachusetts,2020,Professional and Business Services,48609,588927,73198281826,110307200000
25000,Massachusetts,2016,Public Administration,4134,137053,10010376442,52186600000
25000,Massachusetts,2017,All Industries Total,252762,3543382,247785000000,540949000000
25000,Massachusetts,2017,Construction,21403,153442,11588681290,19608400000
