,time,latitude,longitude,adt,sla,ugos,ugosa,vgos,vgosa,State,year
0,1993-12-31 00:00:00,25.125,-87.625,0.4769,-0.0494,0.0949,0.3197,0.9933,0.5913,FL,1993
1,1993-12-31 00:00:00,25.125,-87.375,0.6395,0.052,0.0853,0.2225,0.9698,0.6212,FL,1993
2,1993-12-31 00:00:00,25.125,-87.125,0.7659,0.1321,0.1488,0.184,0.5921,0.3504,FL,1993
3,1993-12-31 00:00:00,25.125,-86.875,0.8366,0.1714,0.2345,0.1871,0.37,0.2322,FL,1993
4,1993-12-31 00:00:00,25.125,-86.625,0.8879,0.2104,0.4573,0.3581,0.2571,0.1894,FL,1993
5,1993-12-31 00:00:00,25.125,-86.375,0.9186,0.2373,0.4513,0.3269,0.2345,0.2544,FL,1993
6,1993-12-31 00:00:00,25.125,-86.125,0.9514,0.2865,0.2919,0.1459,0.0554,0.2328,FL,1993
7,1993-12-31 00:00:00,25.125,-85.875,0.9212,0.2964,0.2598,0.0845,-0.3872,-0.0676,FL,1993
8,1993-12-31 00:00:00,25.125,-85.625,0.8336,0.2672,0.2081,-0.0028,-0.7157,-0.32,FL,1993
9,1993-12-31 00:00:00,25.125,-85.375,0.6995,0.1986,0.1549,-0.0817,-0.9625,-0.5087,FL,1993
10,1993-12-31 00:00:00,25.125,-85.125,0.5456,0.118,0.284,0.0541,-0.946,-0.4603,FL,1993
11,1993-12-31 00:00:00,25.125,-84.875,0.3995,0.0505,0.2577,0.0569,-0.8814,-0.4454,FL,1993
12,1993-12-31 00:00:00,25.125,-84.625,0.263,-0.0214,0.2023,0.0368,-0.7777,-0.3899,FL,1993
13,1993-12-31 00:00:00,25.125,-84.375,0.1552,-0.0641,0.0875,-0.014,-0.4845,-0.1587,FL,1993
14,1993-12-31 00:00:00,25.125,-84.125,0.1056,-0.0767,-0.0638,-0.0961,-0.1659,-0.0223,FL,1993
15,1993-12-31 00:00:00,25.125,-83.875,0.0939,-0.0728,-0.0856,-0.1151,0.0636,0.0894,FL,1993
16,1993-12-31 00:00:00,25.125,-83.625,0.1078,-0.0539,-0.041,-0.099,0.1087,0.0938,FL,1993
17,1993-12-31 00:00:00,25.125,-83.375,0.111,-0.0449,-0.0516,-0.0656,0.0167,0.0608,FL,1993
18,1993-12-31 00:00:00,25.125,-83.125,0.1068,-0.0325,-0.0469,-0.0476,0.0102,0.068,FL,1993
19,1993-12-31 00:00:00,25.125,-82.875,0.091,-0.0278,0.0069,-0.0212,-0.1205,-0.013,FL,1993
20,1993-12-31 00:00:00,25.125,-82.625,0.0607,-0.0344,-0.0327,-0.07,-0.109,-0.0488,FL,1993
21,1993-12-31 00:00:00,25.125,-82.375,0.049,-0.044,-0.0349,-0.0563,-0.0488,-0.0988,FL,1993
22,1993-12-31 00:00:00,25.125,-82.125,0.0433,-0.0648,-0.018,0.0045,-0.0222,-0.1292,FL,1993
23,1993-12-31 00:00:00,25.125,-81.875,0.0486,-0.0794,0.05,0.06,0.148,-0.052,FL,1993
24,1993-12-31 00:00:00,25.125,-81.625,0.0823,-0.0803,0.1146,0.1501,0.2533,0.0414,FL,1993
25,1993-12-31 00:00:00,25.125,-81.375,0.1511,-0.0657,0.0122,0.1426,0.3138,0.1479,FL,1993
26,1993-12-31 00:00:00,25.125,-81.125,0.1812,-0.0391,-0.0273,0.1881,0.2823,0.1462,FL,1993
27,1993-12-31 00:00:00,25.125,-80.875,0.1731,-0.023,-0.0244,0.1184,0.057,0.0746,FL,1993
28,1993-12-31 00:00:00,25.125,-80.625,0.1551,-0.0139,0.0206,-0.0275,-0.1413,0.0315,FL,1993
29,1993-12-31 00:00:00,25.125,-80.375,0.1486,-0.012,0.1166,-0.0752,0.101,0.003,FL,1993
30,1993-12-31 00:00:00,25.125,-80.125,0.2332,-0.0087,0.3318,-0.122,0.9381,0.0556,FL,1993
31,1993-12-31 00:00:00,25.125,-79.875,0.4381,0.0008,0.3366,-0.1347,1.2807,0.018,FL,1993
32,1993-12-31 00:00:00,25.375,-87.625,0.4437,-0.1164,0.3143,0.4214,0.9089,0.6045,FL,1993
33,1993-12-31 00:00:00,25.375,-87.375,0.5965,-0.0101,0.4115,0.4359,0.8854,0.6452,FL,1993
34,1993-12-31 00:00:00,25.375,-87.125,0.7122,0.0772,0.5009,0.449,0.5977,0.45,FL,1993
35,1993-12-31 00:00:00,25.375,-86.875,0.7788,0.1273,0.5343,0.4174,0.2048,0.1315,FL,1993
36,1993-12-31 00:00:00,25.375,-86.625,0.7869,0.1349,0.5287,0.336,0.1019,0.0931,FL,1993
37,1993-12-31 00:00:00,25.375,-86.375,0.824,0.1765,0.4818,0.2249,0.3693,0.4163,FL,1993
38,1993-12-31 00:00:00,25.375,-86.125,0.8741,0.2449,0.5856,0.3207,0.1285,0.3058,FL,1993
39,1993-12-31 00:00:00,25.375,-85.875,0.8527,0.2641,0.4892,0.2341,-0.3255,0.0098,FL,1993
40,1993-12-31 00:00:00,25.375,-85.625,0.7795,0.2554,0.3851,0.1265,-0.5669,-0.1428,FL,1993
41,1993-12-31 00:00:00,25.375,-85.375,0.6592,0.2059,0.3187,0.0538,-0.9877,-0.5377,FL,1993
42,1993-12-31 00:00:00,25.375,-85.125,0.4872,0.1028,0.3202,0.0823,-1.0058,-0.5656,FL,1993
43,1993-12-31 00:00:00,25.375,-84.875,0.3541,0.0368,0.2448,0.0652,-0.7501,-0.3729,FL,1993
44,1993-12-31 00:00:00,25.375,-84.625,0.2349,-0.0246,0.1777,0.0556,-0.6587,-0.3336,FL,1993
45,1993-12-31 00:00:00,25.375,-84.375,0.1547,-0.0587,0.0206,-0.0481,-0.323,-0.0778,FL,1993
46,1993-12-31 00:00:00,25.375,-84.125,0.128,-0.0551,-0.065,-0.1015,-0.0401,0.0718,FL,1993
47,1993-12-31 00:00:00,25.375,-83.875,0.1204,-0.047,-0.0966,-0.1297,-0.0378,0.0124,FL,1993
48,1993-12-31 00:00:00,25.375,-83.625,0.1175,-0.0466,-0.04,-0.0752,0.0587,0.0406,FL,1993
49,1993-12-31 00:00:00,25.375,-83.375,0.1286,-0.0344,0.0172,-0.0294,0.0485,0.0572,FL,1993
50,1993-12-31 00:00:00,25.375,-83.125,0.1204,-0.0306,0.0612,0.0141,-0.0504,0.0311,FL,1993
51,1993-12-31 00:00:00,25.375,-82.875,0.1062,-0.0251,0.0534,0.013,-0.0925,-0.0064,FL,1993
52,1993-12-31 00:00:00,25.375,-82.625,0.0852,-0.0333,0.0608,0.0417,-0.1216,-0.0562,FL,1993
53,1993-12-31 00:00:00,25.375,-82.375,0.0757,-0.0433,0.0896,0.0482,-0.0399,-0.1074,FL,1993
54,1993-12-31 00:00:00,25.375,-82.125,0.0622,-0.0669,0.1085,0.023,-0.0595,-0.1429,FL,1993
55,1993-12-31 00:00:00,25.375,-81.875,0.0677,-0.085,0.1197,0.0101,0.0533,-0.1069,FL,1993
56,1993-12-31 00:00:00,25.375,-81.625,0.0963,-0.0963,0.101,0.0037,0.322,0.0184,FL,1993
57,1993-12-31 00:00:00,25.375,-81.375,0.1484,-0.0834,0.0578,0.0596,0.2669,0.067,FL,1993
58,1993-12-31 00:00:00,25.375,-81.125,0.1852,-0.0766,0.0978,0.167,0.186,0.0801,FL,1993
59,1993-12-31 00:00:00,25.375,-80.375,0.1414,0.0081,0.1471,-0.0855,0.0757,0.0317,FL,1993
60,1993-12-31 00:00:00,25.375,-80.125,0.1932,0.013,0.2251,-0.0664,0.7693,0.0534,FL,1993
61,1993-12-31 00:00:00,25.375,-79.875,0.3807,0.0201,0.2705,-0.0536,1.3075,-0.0232,FL,1993
62,1993-12-31 00:00:00,25.625,-87.625,0.3706,-0.1975,0.546,0.4951,0.7213,0.4978,FL,1993
63,1993-12-31 00:00:00,25.625,-87.375,0.5007,-0.1002,0.7064,0.6053,0.7914,0.6277,FL,1993
64,1993-12-31 00:00:00,25.625,-87.125,0.6039,-0.0155,0.6516,0.5106,0.4554,0.3749,FL,1993
65,1993-12-31 00:00:00,25.625,-86.875,0.6549,0.0318,0.7048,0.508,0.3243,0.3282,FL,1993
66,1993-12-31 00:00:00,25.625,-86.625,0.7116,0.0969,0.4741,0.2188,0.3344,0.401,FL,1993
67,1993-12-31 00:00:00,25.625,-86.375,0.7471,0.1482,0.5902,0.2825,0.1445,0.2326,FL,1993
68,1993-12-31 00:00:00,25.625,-86.125,0.7563,0.1805,0.7093,0.3675,0.059,0.2281,FL,1993
69,1993-12-31 00:00:00,25.625,-85.875,0.7533,0.2196,0.6157,0.2803,-0.1307,0.1803,FL,1993
70,1993-12-31 00:00:00,25.625,-85.625,0.6993,0.2251,0.5224,0.2139,-0.5152,-0.1106,FL,1993
71,1993-12-31 00:00:00,25.625,-85.375,0.5871,0.1801,0.4498,0.1756,-0.8964,-0.4761,FL,1993
72,1993-12-31 00:00:00,25.625,-85.125,0.4318,0.0911,0.3063,0.0729,-0.8617,-0.4797,FL,1993
73,1993-12-31 00:00:00,25.625,-84.875,0.3154,0.0295,0.2256,0.0412,-0.7173,-0.4127,FL,1993
74,1993-12-31 00:00:00,25.625,-84.625,0.2067,-0.0375,0.1286,0.0173,-0.5154,-0.2641,FL,1993
75,1993-12-31 00:00:00,25.625,-84.375,0.1632,-0.0481,-0.0149,-0.0658,-0.1706,0.028,FL,1993
76,1993-12-31 00:00:00,25.625,-84.125,0.1365,-0.0417,-0.0231,-0.0933,-0.0485,0.0719,FL,1993
77,1993-12-31 00:00:00,25.625,-83.875,0.1386,-0.0286,-0.0384,-0.1177,0.0172,0.057,FL,1993
78,1993-12-31 00:00:00,25.625,-83.625,0.1372,-0.0273,0.0293,-0.0524,-0.0305,-0.0359,FL,1993
