Unnamed: 0,geoName,year,sector,establishments,employment,wages,gdp,State,adt,sla,ugos,ugosa,vgos,vgosa
0,Alabama,2017,Ship and Boat Building,56.0,5148.5,340878916.0,768027904.345,Alabama,0.1815125,-0.0073,-0.088825,-0.093675,0.001275,0.0286
1,Alabama,2017,Tourism and Recreation,969.0,19190.083,349429993.0,746658770.34,Alabama,0.1815125,-0.0073,-0.088825,-0.093675,0.001275,0.0286
3,Alabama,2017,Ocean Economy,1370.0,30717.417,995482547.0,2298649827.607,Alabama,0.1815125,-0.0073,-0.088825,-0.093675,0.001275,0.0286
5,Alabama,2017,Living Resources,142.0,2072.5,59101242.0,180584087.826,Alabama,0.1815125,-0.0073,-0.088825,-0.093675,0.001275,0.0286
6,Alabama,2017,Offshore Mineral Resources,44.0,316.167,33201010.0,249852706.261,Alabama,0.1815125,-0.0073,-0.088825,-0.093675,0.001275,0.0286
20,Alabama,2018,Living Resources,140.0,2119.417,61779516.0,179577769.604,Alabama,0.2141,0.025275,0.01425,0.0093625,-0.0448875,-0.01755
21,Alabama,2018,Offshore Mineral Resources,42.0,314.833,33424389.0,215719269.852,Alabama,0.2141,0.025275,0.01425,0.0093625,-0.0448875,-0.01755
22,Alabama,2018,Ship and Boat Building,52.0,4587.833,323146872.0,752468871.428,Alabama,0.2141,0.025275,0.01425,0.0093625,-0.0448875,-0.01755
23,Alabama,2018,Tourism and Recreation,1014.0,19602.417,373288521.0,775639544.662,Alabama,0.2141,0.025275,0.01425,0.0093625,-0.0448875,-0.01755
25,Alabama,2018,Ocean Economy,1404.0,30826.667,1021482918.0,2294996280.592,Alabama,0.2141,0.025275,0.01425,0.0093625,-0.0448875,-0.01755
38,Alabama,2009,Ocean Economy,1148.0,24027.0,666358558.0,1952852707.862,Alabama,0.179275,-0.009525,0.0049375,3.749999999999977e-05,-0.0375875,-0.0102625
40,Alabama,2009,Living Resources,119.0,2011.0,46303175.0,159119667.155,Alabama,0.179275,-0.009525,0.0049375,3.749999999999977e-05,-0.0375875,-0.0102625
41,Alabama,2009,Offshore Mineral Resources,32.0,468.0,44273590.0,543769884.478,Alabama,0.179275,-0.009525,0.0049375,3.749999999999977e-05,-0.0375875,-0.0102625
42,Alabama,2009,Ship and Boat Building,50.0,3577.0,167807886.0,360362434.857,Alabama,0.179275,-0.009525,0.0049375,3.749999999999977e-05,-0.0375875,-0.0102625
43,Alabama,2009,Tourism and Recreation,789.0,13599.0,199722601.0,381853731.612,Alabama,0.179275,-0.009525,0.0049375,3.749999999999977e-05,-0.0375875,-0.0102625
45,Alabama,2010,Living Resources,124.0,1788.0,44312150.0,138498279.5,Alabama,0.11325,-0.07555,-0.054125,-0.058975,-0.0159125,0.0114
46,Alabama,2010,Offshore Mineral Resources,35.0,462.0,45105295.0,439302416.505,Alabama,0.11325,-0.07555,-0.054125,-0.058975,-0.0159125,0.0114
47,Alabama,2010,Ship and Boat Building,46.0,3017.0,151114753.0,381049142.759,Alabama,0.11325,-0.07555,-0.054125,-0.058975,-0.0159125,0.0114
48,Alabama,2010,Tourism and Recreation,784.0,13656.0,206456188.0,403516991.236,Alabama,0.11325,-0.07555,-0.054125,-0.058975,-0.0159125,0.0114
50,Alabama,2010,Ocean Economy,1167.0,23094.0,651600826.0,1906680036.764,Alabama,0.11325,-0.07555,-0.054125,-0.058975,-0.0159125,0.0114
52,Alabama,2011,Living Resources,125.0,1738.0,42762146.0,114364975.865,Alabama,0.1743,-0.0144875,-0.0084249999999999,-0.013325,-0.0056375,0.0216875
53,Alabama,2011,Offshore Mineral Resources,40.0,504.0,49351441.0,447376456.784,Alabama,0.1743,-0.0144875,-0.0084249999999999,-0.013325,-0.0056375,0.0216875
54,Alabama,2011,Ship and Boat Building,50.0,3639.0,195167781.0,383809234.082,Alabama,0.1743,-0.0144875,-0.0084249999999999,-0.013325,-0.0056375,0.0216875
55,Alabama,2011,Tourism and Recreation,817.0,14626.0,225237461.0,454711442.49,Alabama,0.1743,-0.0144875,-0.0084249999999999,-0.013325,-0.0056375,0.0216875
57,Alabama,2011,Ocean Economy,1208.0,24953.0,730599205.0,1921672548.917,Alabama,0.1743,-0.0144875,-0.0084249999999999,-0.013325,-0.0056375,0.0216875
59,Alabama,2012,Living Resources,121.0,1856.667,45296112.0,133881801.674,Alabama,0.1542875,-0.0345375,-0.03925,-0.04415,0.00545,0.0327625
60,Alabama,2012,Offshore Mineral Resources,38.0,544.667,55253898.0,404367618.511,Alabama,0.1542875,-0.0345375,-0.03925,-0.04415,0.00545,0.0327625
61,Alabama,2012,Ship and Boat Building,43.0,4760.25,250478690.0,468173883.823,Alabama,0.1542875,-0.0345375,-0.03925,-0.04415,0.00545,0.0327625
62,Alabama,2012,Tourism and Recreation,837.0,15138.167,239903881.0,496689373.957,Alabama,0.1542875,-0.0345375,-0.03925,-0.04415,0.00545,0.0327625
64,Alabama,2012,Ocean Economy,1218.0,26892.833,820339167.0,1975054441.164,Alabama,0.1542875,-0.0345375,-0.03925,-0.04415,0.00545,0.0327625
66,Alabama,2013,Living Resources,123.0,1766.167,44625071.0,198948055.119,Alabama,0.1916,0.002775,-0.033475,-0.0383625,-0.0103,0.017025
67,Alabama,2013,Offshore Mineral Resources,39.0,576.583,59326119.0,513544936.967,Alabama,0.1916,0.002775,-0.033475,-0.0383625,-0.0103,0.017025
68,Alabama,2013,Ship and Boat Building,48.0,5537.5,307825482.0,636585160.52,Alabama,0.1916,0.002775,-0.033475,-0.0383625,-0.0103,0.017025
69,Alabama,2013,Tourism and Recreation,860.0,15897.833,259013071.0,533394261.387,Alabama,0.1916,0.002775,-0.033475,-0.0383625,-0.0103,0.017025
71,Alabama,2013,Ocean Economy,1246.0,28220.417,900950977.0,2324235497.119,Alabama,0.1916,0.002775,-0.033475,-0.0383625,-0.0103,0.017025
73,Alabama,2020,Living Resources,134.0,1653.75,55635743.0,124960594.887,Alabama,0.217275,0.02845,-0.0056624999999999,-0.01055,-0.0416,-0.01425
74,Alabama,2020,Offshore Mineral Resources,45.0,213.583,18157441.0,60827978.076,Alabama,0.217275,0.02845,-0.0056624999999999,-0.01055,-0.0416,-0.01425
75,Alabama,2020,Ship and Boat Building,55.0,4417.083,309891553.0,528816439.911,Alabama,0.217275,0.02845,-0.0056624999999999,-0.01055,-0.0416,-0.01425
76,Alabama,2020,Tourism and Recreation,1047.0,17314.667,374507949.0,741421741.731,Alabama,0.217275,0.02845,-0.0056624999999999,-0.01055,-0.0416,-0.01425
78,Alabama,2020,Ocean Economy,1442.0,28605.167,1039145080.0,1883215272.108,Alabama,0.217275,0.02845,-0.0056624999999999,-0.01055,-0.0416,-0.01425
90,Alabama,2006,Tourism and Recreation,653.0,12534.0,171559674.0,352972360.149,Alabama,0.1519,-0.036925,0.0248749999999999,0.02,-0.02345,0.0038624999999999
92,Alabama,2006,Ocean Economy,1029.0,21908.0,529642474.0,1949318116.963,Alabama,0.1519,-0.036925,0.0248749999999999,0.02,-0.02345,0.0038624999999999
94,Alabama,2006,Living Resources,123.0,2440.0,53215020.0,189063981.431,Alabama,0.1519,-0.036925,0.0248749999999999,0.02,-0.02345,0.0038624999999999
95,Alabama,2006,Offshore Mineral Resources,29.0,459.0,35357065.0,851819045.352,Alabama,0.1519,-0.036925,0.0248749999999999,0.02,-0.02345,0.0038624999999999
96,Alabama,2006,Ship and Boat Building,55.0,2656.0,116339043.0,254631612.961,Alabama,0.1519,-0.036925,0.0248749999999999,0.02,-0.02345,0.0038624999999999
98,Alabama,2007,Living Resources,121.0,2338.0,53437625.0,197675951.919,Alabama,0.19005,0.0012374999999999,-0.010275,-0.015175,-0.0231625,0.0041375
99,Alabama,2007,Offshore Mineral Resources,32.0,464.0,38584491.0,939287643.44,Alabama,0.19005,0.0012374999999999,-0.010275,-0.015175,-0.0231625,0.0041375
100,Alabama,2007,Ship and Boat Building,55.0,3551.0,155900038.0,327122345.328,Alabama,0.19005,0.0012374999999999,-0.010275,-0.015175,-0.0231625,0.0041375
101,Alabama,2007,Tourism and Recreation,700.0,12672.0,181627567.0,368039139.149,Alabama,0.19005,0.0012374999999999,-0.010275,-0.015175,-0.0231625,0.0041375
103,Alabama,2007,Ocean Economy,1074.0,23489.0,627056673.0,2258366881.59,Alabama,0.19005,0.0012374999999999,-0.010275,-0.015175,-0.0231625,0.0041375
105,Alabama,2008,Living Resources,125.0,2161.0,51100869.0,158002426.439,Alabama,0.1637125,-0.0250875,-0.014025,-0.0189,-0.016175,0.01115
106,Alabama,2008,Offshore Mineral Resources,35.0,472.0,40928014.0,1064170160.564,Alabama,0.1637125,-0.0250875,-0.014025,-0.0189,-0.016175,0.01115
107,Alabama,2008,Ship and Boat Building,52.0,3991.0,179550919.0,378013486.495,Alabama,0.1637125,-0.0250875,-0.014025,-0.0189,-0.016175,0.01115
108,Alabama,2008,Tourism and Recreation,754.0,13287.0,194055242.0,371695328.736,Alabama,0.1637125,-0.0250875,-0.014025,-0.0189,-0.016175,0.01115
110,Alabama,2008,Ocean Economy,1137.0,24698.0,696640518.0,2508842956.803,Alabama,0.1637125,-0.0250875,-0.014025,-0.0189,-0.016175,0.01115
112,Alabama,2005,Living Resources,141.0,2589.0,53585276.0,225473062.386,Alabama,0.1024125,-0.0864,-0.03725,-0.04215,-0.0273625,-3.749999999999945e-05
113,Alabama,2005,Offshore Mineral Resources,29.0,444.0,32757416.0,891960511.804,Alabama,0.1024125,-0.0864,-0.03725,-0.04215,-0.0273625,-3.749999999999945e-05
114,Alabama,2005,Ship and Boat Building,55.0,2291.0,93617363.0,216635101.693,Alabama,0.1024125,-0.0864,-0.03725,-0.04215,-0.0273625,-3.749999999999945e-05
115,Alabama,2005,Tourism and Recreation,640.0,11628.0,150894614.0,307342355.447,Alabama,0.1024125,-0.0864,-0.03725,-0.04215,-0.0273625,-3.749999999999945e-05
117,Alabama,2005,Ocean Economy,1023.0,20237.0,463426237.0,1907823111.746,Alabama,0.1024125,-0.0864,-0.03725,-0.04215,-0.0273625,-3.749999999999945e-05
119,Alabama,2016,Living Resources,141.0,2028.5,58388581.0,162407770.403,Alabama,0.3024875,0.1136875,0.022,0.017125,-0.0138375,0.0134875
120,Alabama,2016,Offshore Mineral Resources,42.0,345.25,34265539.0,221183705.138,Alabama,0.3024875,0.1136875,0.022,0.017125,-0.0138375,0.0134875
121,Alabama,2016,Ship and Boat Building,54.0,5546.5,346862386.0,704451147.642,Alabama,0.3024875,0.1136875,0.022,0.017125,-0.0138375,0.0134875
122,Alabama,2016,Tourism and Recreation,932.0,18440.75,326669407.0,703155333.348,Alabama,0.3024875,0.1136875,0.022,0.017125,-0.0138375,0.0134875
124,Alabama,2016,Ocean Economy,1332.0,30538.833,983769976.0,2174625173.309,Alabama,0.3024875,0.1136875,0.022,0.017125,-0.0138375,0.0134875
138,Alabama,2019,Living Resources,135.0,1980.5,62807218.0,162195583.172,Alabama,0.2226624999999999,0.03385,0.0078375,0.00295,0.0133,0.0405875
139,Alabama,2019,Offshore Mineral Resources,44.0,297.167,31096026.0,151805261.488,Alabama,0.2226624999999999,0.03385,0.0078375,0.00295,0.0133,0.0405875
140,Alabama,2019,Ship and Boat Building,55.0,4372.0,306441017.0,681565330.7,Alabama,0.2226624999999999,0.03385,0.0078375,0.00295,0.0133,0.0405875
141,Alabama,2019,Tourism and Recreation,1059.0,20005.083,404282200.0,827371366.533,Alabama,0.2226624999999999,0.03385,0.0078375,0.00295,0.0133,0.0405875
143,Alabama,2019,Ocean Economy,1456.0,31406.0,1068590893.0,2250550918.121,Alabama,0.2226624999999999,0.03385,0.0078375,0.00295,0.0133,0.0405875
156,Alabama,2014,Living Resources,129.0,1754.833,46673137.0,165006734.875,Alabama,0.2332625,0.044475,-0.0182125,-0.0230874999999999,-0.0062375,0.0210875
157,Alabama,2014,Offshore Mineral Resources,37.0,570.917,59156425.0,512896948.777,Alabama,0.2332625,0.044475,-0.0182125,-0.0230874999999999,-0.0062375,0.0210875
158,Alabama,2014,Ship and Boat Building,49.0,5649.917,326114513.0,608468629.734,Alabama,0.2332625,0.044475,-0.0182125,-0.0230874999999999,-0.0062375,0.0210875
159,Alabama,2014,Tourism and Recreation,865.0,16474.25,276731675.0,574873178.919,Alabama,0.2332625,0.044475,-0.0182125,-0.0230874999999999,-0.0062375,0.0210875
161,Alabama,2014,Ocean Economy,1243.0,28828.667,944227470.0,2313892194.739,Alabama,0.2332625,0.044475,-0.0182125,-0.0230874999999999,-0.0062375,0.0210875
163,Alabama,2015,Living Resources,128.0,1758.667,49365723.0,172838475.331,Alabama,0.3307625,0.1419375,0.0326125,0.027725,-0.0074375,0.0199
164,Alabama,2015,Offshore Mineral Resources,42.0,341.167,34471267.0,229573778.392,Alabama,0.3307625,0.1419375,0.0326125,0.027725,-0.0074375,0.0199
165,Alabama,2015,Ship and Boat Building,51.0,5809.667,358642988.0,755900564.011,Alabama,0.3307625,0.1419375,0.0326125,0.027725,-0.0074375,0.0199
166,Alabama,2015,Tourism and Recreation,880.0,17252.667,298961568.0,645481770.458,Alabama,0.3307625,0.1419375,0.0326125,0.027725,-0.0074375,0.0199
168,Alabama,2015,Ocean Economy,1256.0,29494.667,973719157.0,2221854128.602,Alabama,0.3307625,0.1419375,0.0326125,0.027725,-0.0074375,0.0199
170,Alabama,2021,Living Resources,139.0,1616.083,56265475.0,172944512.262,Alabama,0.292675,0.103875,0.021025,0.0161375,-0.0038875,0.0234375
171,Alabama,2021,Offshore Mineral Resources,45.0,221.833,18194080.0,124715738.295,Alabama,0.292675,0.103875,0.021025,0.0161375,-0.0038875,0.0234375
172,Alabama,2021,Ship and Boat Building,53.0,4068.0,291941921.0,701094719.92,Alabama,0.292675,0.103875,0.021025,0.0161375,-0.0038875,0.0234375
173,Alabama,2021,Tourism and Recreation,1077.0,19262.917,484209386.0,1069501058.597,Alabama,0.292675,0.103875,0.021025,0.0161375,-0.0038875,0.0234375
175,Alabama,2021,Ocean Economy,1491.0,38824.75,1383702447.0,2758413957.876,Alabama,0.292675,0.103875,0.021025,0.0161375,-0.0038875,0.0234375
177,Connecticut,2021,Living Resources,83.0,671.583,31519933.0,77531016.998,Connecticut,0.0383,0.1167666666666666,0.0828,0.0629,-0.0067999999999999,0.0106333333333333
178,Connecticut,2021,Offshore Mineral Resources,42.0,211.833,15053979.0,82590397.892,Connecticut,0.0383,0.1167666666666666,0.0828,0.0629,-0.0067999999999999,0.0106333333333333
179,Connecticut,2021,Ship and Boat Building,20.0,12548.917,1265747284.0,3040594774.778,Connecticut,0.0383,0.1167666666666666,0.0828,0.0629,-0.0067999999999999,0.0106333333333333
180,Connecticut,2021,Tourism and Recreation,2872.0,34958.75,1060469063.0,2362348166.272,Connecticut,0.0383,0.1167666666666666,0.0828,0.0629,-0.0067999999999999,0.0106333333333333
182,Connecticut,2021,Ocean Economy,3189.0,61385.25,3014935828.0,6507451887.562,Connecticut,0.0383,0.1167666666666666,0.0828,0.0629,-0.0067999999999999,0.0106333333333333
184,Connecticut,2005,Living Resources,68.0,360.0,11125227.0,38677889.262,Connecticut,-0.0688,0.0096666666666666,0.0507,0.0308333333333333,-0.0248666666666666,-0.0074333333333333
185,Connecticut,2005,Ship and Boat Building,20.0,8529.0,584196979.0,1091960661.047,Connecticut,-0.0688,0.0096666666666666,0.0507,0.0308333333333333,-0.0248666666666666,-0.0074333333333333
186,Connecticut,2005,Tourism and Recreation,2152.0,28436.0,565590815.0,1172536824.844,Connecticut,-0.0688,0.0096666666666666,0.0507,0.0308333333333333,-0.0248666666666666,-0.0074333333333333
188,Connecticut,2005,Ocean Economy,2425.0,43084.0,1507937617.0,2961940954.394,Connecticut,-0.0688,0.0096666666666666,0.0507,0.0308333333333333,-0.0248666666666666,-0.0074333333333333
191,Connecticut,2006,Living Resources,69.0,319.0,9391411.0,34526585.561,Connecticut,-0.0774666666666666,0.0010333333333333,0.1394666666666666,0.1196333333333333,-0.0697333333333333,-0.0523
192,Connecticut,2006,Ship and Boat Building,19.0,8353.0,562410328.0,1113133157.398,Connecticut,-0.0774666666666666,0.0010333333333333,0.1394666666666666,0.1196333333333333,-0.0697333333333333,-0.0523
193,Connecticut,2006,Tourism and Recreation,2249.0,29188.0,599930963.0,1212500386.724,Connecticut,-0.0774666666666666,0.0010333333333333,0.1394666666666666,0.1196333333333333,-0.0697333333333333,-0.0523
195,Connecticut,2006,Ocean Economy,2532.0,43103.0,1507170387.0,3051381403.278,Connecticut,-0.0774666666666666,0.0010333333333333,0.1394666666666666,0.1196333333333333,-0.0697333333333333,-0.0523
198,Connecticut,2007,Living Resources,70.0,370.0,11396534.0,38097892.536,Connecticut,-0.0566666666666666,0.0218333333333333,0.0334,0.0135333333333333,0.0671666666666666,0.0846333333333333
199,Connecticut,2007,Ship and Boat Building,19.0,7778.0,570396950.0,1115896848.527,Connecticut,-0.0566666666666666,0.0218333333333333,0.0334,0.0135333333333333,0.0671666666666666,0.0846333333333333
200,Connecticut,2007,Tourism and Recreation,2314.0,30373.0,646751863.0,1250966395.622,Connecticut,-0.0566666666666666,0.0218333333333333,0.0334,0.0135333333333333,0.0671666666666666,0.0846333333333333
202,Connecticut,2007,Ocean Economy,2608.0,43847.0,1703841739.0,3589928587.004,Connecticut,-0.0566666666666666,0.0218333333333333,0.0334,0.0135333333333333,0.0671666666666666,0.0846333333333333
206,Connecticut,2016,Living Resources,84.0,721.333,31060402.0,83167743.835,Connecticut,-0.0375333333333333,0.0409,0.022,0.0021333333333333,-0.0285,-0.0110333333333333
