geoid,geoName,year,sector,establishments,employment,wages,gdp
01000,Alabama,2017,Ship and Boat Building,56,5148.5,340878916,768027904.345
01000,Alabama,2017,Tourism and Recreation,969,19190.083,349429993,746658770.34
01000,Alabama,2017,Marine Transportation,122,3598.083,193170214,316308107.444
01000,Alabama,2017,Ocean Economy,1370,30717.417,995482547,2298649827.607
01000,Alabama,2018,Marine Construction,38,448.417,24823844,46519873.806
01000,Alabama,2009,Marine Transportation,117,4020,194787940,481707599.416
01000,Alabama,2009,Ocean Economy,1148,24027,666358558,1952852707.862
01000,Alabama,2010,Marine Construction,44,346,13841570,24926186.831
01000,Alabama,2010,Living Resources,124,1788,44312150,138498279.5
01000,Alabama,2010,Offshore Mineral Resources,35,462,45105295,439302416.505
01000,Alabama,2010,Ship and Boat Building,46,3017,151114753,381049142.759
01000,Alabama,2010,Tourism and Recreation,784,13656,206456188,403516991.236
01000,Alabama,2010,Marine Transportation,134,3822,190770870,519387019.933
01000,Alabama,2010,Ocean Economy,1167,23094,651600826,1906680036.764
01000,Alabama,2011,Marine Construction,43,379,15826044,29802849.25
01000,Alabama,2011,Living Resources,125,1738,42762146,114364975.865
01000,Alabama,2011,Offshore Mineral Resources,40,504,49351441,447376456.784
01000,Alabama,2011,Ship and Boat Building,50,3639,195167781,383809234.082
01000,Alabama,2011,Tourism and Recreation,817,14626,225237461,454711442.49
01000,Alabama,2011,Marine Transportation,133,4065,202254332,491607590.447
01000,Alabama,2011,Ocean Economy,1208,24953,730599205,1921672548.917
01000,Alabama,2012,Marine Construction,44,383.25,18831030,36076293.385
01000,Alabama,2012,Living Resources,121,1856.667,45296112,133881801.674
01000,Alabama,2012,Offshore Mineral Resources,38,544.667,55253898,404367618.511
01000,Alabama,2012,Ship and Boat Building,43,4760.25,250478690,468173883.823
01000,Alabama,2012,Tourism and Recreation,837,15138.167,239903881,496689373.957
01000,Alabama,2012,Marine Transportation,135,4209.833,210575556,435865469.812
01000,Alabama,2012,Ocean Economy,1218,26892.833,820339167,1975054441.164
01000,Alabama,2013,Marine Construction,43,398.417,18357888,34932257.139
01000,Alabama,2013,Living Resources,123,1766.167,44625071,198948055.119
01000,Alabama,2013,Offshore Mineral Resources,39,576.583,59326119,513544936.967
01000,Alabama,2013,Ship and Boat Building,48,5537.5,307825482,636585160.52
01000,Alabama,2013,Tourism and Recreation,860,15897.833,259013071,533394261.387
01000,Alabama,2013,Marine Transportation,133,4043.917,211803346,406830825.986
01000,Alabama,2013,Ocean Economy,1246,28220.417,900950977,2324235497.119
01000,Alabama,2020,Marine Construction,39,403.25,23790923,44234358.971
01000,Alabama,2020,Living Resources,134,1653.75,55635743,124960594.887
01000,Alabama,2020,Offshore Mineral Resources,45,213.583,18157441,60827978.076
01000,Alabama,2020,Ship and Boat Building,55,4417.083,309891553,528816439.911
01000,Alabama,2020,Tourism and Recreation,1047,17314.667,374507949,741421741.731
01000,Alabama,2020,Marine Transportation,122,4602.833,257161471,382954158.532
01000,Alabama,2020,Ocean Economy,1442,28605.167,1039145080,1883215272.108
01000,Alabama,2006,Tourism and Recreation,653,12534,171559674,352972360.149
01000,Alabama,2006,Marine Transportation,118,3376,136901773,266937758.049
01000,Alabama,2006,Ocean Economy,1029,21908,529642474,1949318116.963
01000,Alabama,2007,Marine Construction,50,435,15540390,32180365.524
01000,Alabama,2007,Living Resources,121,2338,53437625,197675951.919
01000,Alabama,2007,Offshore Mineral Resources,32,464,38584491,939287643.44
01000,Alabama,2007,Ship and Boat Building,55,3551,155900038,327122345.328
01000,Alabama,2007,Tourism and Recreation,700,12672,181627567,368039139.149
01000,Alabama,2007,Marine Transportation,116,4028,181966562,394061436.231
01000,Alabama,2007,Ocean Economy,1074,23489,627056673,2258366881.59
01000,Alabama,2008,Marine Construction,51,388,13673839,25712190.765
01000,Alabama,2008,Living Resources,125,2161,51100869,158002426.439
01000,Alabama,2008,Offshore Mineral Resources,35,472,40928014,1064170160.564
01000,Alabama,2008,Ship and Boat Building,52,3991,179550919,378013486.495
01000,Alabama,2008,Tourism and Recreation,754,13287,194055242,371695328.736
01000,Alabama,2008,Marine Transportation,120,4397,217331635,511249363.804
01000,Alabama,2008,Ocean Economy,1137,24698,696640518,2508842956.803
01000,Alabama,2009,Marine Construction,41,350,13463366,26039390.344
01000,Alabama,2009,Living Resources,119,2011,46303175,159119667.155
01000,Alabama,2009,Offshore Mineral Resources,32,468,44273590,543769884.478
01000,Alabama,2009,Ship and Boat Building,50,3577,167807886,360362434.857
01000,Alabama,2009,Tourism and Recreation,789,13599,199722601,381853731.612
01000,Alabama,2005,Marine Construction,42,324,12188039,25442785.385
01000,Alabama,2005,Living Resources,141,2589,53585276,225473062.386
01000,Alabama,2005,Offshore Mineral Resources,29,444,32757416,891960511.804
01000,Alabama,2005,Ship and Boat Building,55,2291,93617363,216635101.693
01000,Alabama,2005,Tourism and Recreation,640,11628,150894614,307342355.447
01000,Alabama,2005,Marine Transportation,116,2959,120383529,240969295.032
01000,Alabama,2005,Ocean Economy,1023,20237,463426237,1907823111.746
01000,Alabama,2006,Marine Construction,51,439,16269899,33893359.021
01000,Alabama,2006,Living Resources,123,2440,53215020,189063981.431
01000,Alabama,2006,Offshore Mineral Resources,29,459,35357065,851819045.352
01000,Alabama,2006,Ship and Boat Building,55,2656,116339043,254631612.961
01000,Alabama,2016,Marine Construction,43,447.75,21972332,40904812.988
01000,Alabama,2016,Living Resources,141,2028.5,58388581,162407770.403
01000,Alabama,2016,Offshore Mineral Resources,42,345.25,34265539,221183705.138
01000,Alabama,2016,Ship and Boat Building,54,5546.5,346862386,704451147.642
01000,Alabama,2016,Tourism and Recreation,932,18440.75,326669407,703155333.348
01000,Alabama,2016,Marine Transportation,120,3730.083,195611731,342522403.79
01000,Alabama,2016,Ocean Economy,1332,30538.833,983769976,2174625173.309
01000,Alabama,2017,Marine Construction,37,392.083,19701172,37218251.392
01000,Alabama,2017,Living Resources,142,2072.5,59101242,180584087.826
01000,Alabama,2017,Offshore Mineral Resources,44,316.167,33201010,249852706.261
01000,Alabama,2018,Living Resources,140,2119.417,61779516,179577769.604
01000,Alabama,2018,Offshore Mineral Resources,42,314.833,33424389,215719269.852
01000,Alabama,2018,Ship and Boat Building,52,4587.833,323146872,752468871.428
01000,Alabama,2018,Tourism and Recreation,1014,19602.417,373288521,775639544.662
01000,Alabama,2018,Marine Transportation,118,3753.75,205019776,325070951.239
01000,Alabama,2018,Ocean Economy,1404,30826.667,1021482918,2294996280.592
01000,Alabama,2019,Marine Construction,38,402.75,23260340,44480193.154
01000,Alabama,2019,Living Resources,135,1980.5,62807218,162195583.172
01000,Alabama,2019,Offshore Mineral Resources,44,297.167,31096026,151805261.488
01000,Alabama,2019,Ship and Boat Building,55,4372,306441017,681565330.7
01000,Alabama,2019,Tourism and Recreation,1059,20005.083,404282200,827371366.533
01000,Alabama,2019,Marine Transportation,125,4348.5,240704092,383133183.074
01000,Alabama,2019,Ocean Economy,1456,31406,1068590893,2250550918.121
01000,Alabama,2014,Marine Construction,40,410.667,18638735,34183667.208
01000,Alabama,2014,Living Resources,129,1754.833,46673137,165006734.875
01000,Alabama,2014,Offshore Mineral Resources,37,570.917,59156425,512896948.777
01000,Alabama,2014,Ship and Boat Building,49,5649.917,326114513,608468629.734
01000,Alabama,2014,Tourism and Recreation,865,16474.25,276731675,574873178.919
01000,Alabama,2014,Marine Transportation,123,3968.083,216912985,418463035.227
01000,Alabama,2014,Ocean Economy,1243,28828.667,944227470,2313892194.739
01000,Alabama,2015,Marine Construction,43,443.583,23066601,42172179.658
01000,Alabama,2015,Living Resources,128,1758.667,49365723,172838475.331
01000,Alabama,2015,Offshore Mineral Resources,42,341.167,34471267,229573778.392
01000,Alabama,2015,Ship and Boat Building,51,5809.667,358642988,755900564.011
01000,Alabama,2015,Tourism and Recreation,880,17252.667,298961568,645481770.458
01000,Alabama,2015,Marine Transportation,112,3888.917,209211010,375887360.753
01000,Alabama,2015,Ocean Economy,1256,29494.667,973719157,2221854128.602
01000,Alabama,2021,Marine Construction,43,464.833,25570932,52540420.644
01000,Alabama,2021,Living Resources,139,1616.083,56265475,172944512.262
01000,Alabama,2021,Offshore Mineral Resources,45,221.833,18194080,124715738.295
01000,Alabama,2021,Ship and Boat Building,53,4068,291941921,701094719.92
01000,Alabama,2021,Tourism and Recreation,1077,19262.917,484209386,1069501058.597
01000,Alabama,2021,Marine Transportation,134,13191.083,507520653,690105388.381
01000,Alabama,2021,Ocean Economy,1491,38824.75,1383702447,2758413957.876
09000,Connecticut,2021,Marine Construction,SUP,SUP,SUP,SUP
09000,Connecticut,2021,Living Resources,83,671.583,31519933,77531016.998
09000,Connecticut,2021,Offshore Mineral Resources,42,211.833,15053979,82590397.892
09000,Connecticut,2021,Ship and Boat Building,20,12548.917,1265747284,3040594774.778
09000,Connecticut,2021,Tourism and Recreation,2872,34958.75,1060469063,2362348166.272
09000,Connecticut,2021,Marine Transportation,129,12647.833,611509116,895064383.989
09000,Connecticut,2021,Ocean Economy,3189,61385.25,3014935828,6507451887.562
09000,Connecticut,2005,Offshore Mineral Resources,SUP,SUP,SUP,SUP
09000,Connecticut,2006,Offshore Mineral Resources,SUP,SUP,SUP,SUP
09000,Connecticut,2007,Offshore Mineral Resources,SUP,SUP,SUP,SUP
09000,Connecticut,2016,Marine Construction,SUP,SUP,SUP,SUP
09000,Connecticut,2016,Marine Transportation,SUP,SUP,SUP,SUP
09000,Connecticut,2015,Offshore Mineral Resources,SUP,SUP,SUP,SUP
09000,Connecticut,2005,Living Resources,68,360,11125227,38677889.262
09000,Connecticut,2005,Ship and Boat Building,20,8529,584196979,1091960661.047
09000,Connecticut,2005,Tourism and Recreation,2152,28436,565590815,1172536824.844
09000,Connecticut,2005,Marine Transportation,123,5087,303009244,550270731.321
09000,Connecticut,2005,Ocean Economy,2425,43084,1507937617,2961940954.394
09000,Connecticut,2006,Living Resources,69,319,9391411,34526585.561
09000,Connecticut,2006,Ship and Boat Building,19,8353,562410328,1113133157.398
09000,Connecticut,2006,Tourism and Recreation,2249,29188,599930963,1212500386.724
09000,Connecticut,2006,Marine Transportation,130,4627,296615040,580619953.555
09000,Connecticut,2006,Ocean Economy,2532,43103,1507170387,3051381403.278
09000,Connecticut,2007,Living Resources,70,370,11396534,38097892.536
09000,Connecticut,2007,Ship and Boat Building,19,7778,570396950,1115896848.527
09000,Connecticut,2007,Tourism and Recreation,2314,30373,646751863,1250966395.622
09000,Connecticut,2007,Marine Transportation,139,4672,433713769,1060739926.472
09000,Connecticut,2007,Ocean Economy,2608,43847,1703841739,3589928587.004
09000,Connecticut,2008,Living Resources,70,372,12365843,40496573.774
09000,Connecticut,2008,Offshore Mineral Resources,23,391,27235827,72005557.162
09000,Connecticut,2008,Ship and Boat Building,17,7995,618190346,1159545774.451
09000,Connecticut,2008,Marine Transportation,150,4744,357342686,899760060.747
09000,Connecticut,2008,Ocean Economy,2669,44952,1693102798,3534543453.631
09000,Connecticut,2009,Marine Construction,45,183,10778487,22333673.364
09000,Connecticut,2009,Living Resources,71,458,17151330,51705922.632
09000,Connecticut,2009,Offshore Mineral Resources,23,325,23179945,62546597.03
09000,Connecticut,2009,Ship and Boat Building,15,8540,661448985,1386471304.726
09000,Connecticut,2009,Tourism and Recreation,2380,30642,644074564,1397427084.301
