geoid,geoName,year,sector,establishments,employment,wages,gdp
25000,Massachusetts,2017,Information,3896,84699,9723959692,30288363848
25000,Massachusetts,2017,Leisure and Hospitality,16322,302465,8527659196,18728886635
25000,Massachusetts,2019,Leisure and Hospitality,16430,311136,9644116165,21615061620
25000,Massachusetts,2019,Manufacturing,4842,179225,17335140616,43201737705
25000,Massachusetts,2016,Trade Transportation and Utilities,29867,449780,22646224320,49938598274
25000,Massachusetts,2018,Trade, Transportation, and Utilitie,29413,453044
25000,Massachusetts,2017,All Industries Total,180839,2783547,2.06551E+11,4.60649E+11
25000,Massachusetts,2016,Financial Activities,13184,180046,24907830284,1.10306E+11
25000,Massachusetts,2017,Financial Activities,13460,181272,26419018012,1.1361E+11
25000,Massachusetts,2016,Education and Health Services,38759,737109,43661444970,51970312146
25000,Massachusetts,2019,Education and Health Services,46433,767439,48585437105,58052774685
25000,Massachusetts,2020,Education and Health Services,48275,721437,49216113926,55354330900
25000,Massachusetts,2018,Natural Resources and Mining,705,6783,486767766,836978594.3
25000,Massachusetts,2019,Natural Resources and Mining,715,7407,553609250,848824097.9
25000,Massachusetts,2018,Other Services,17477,96803,3816152170,9040809655
25000,Massachusetts,2020,Professional and Business Services,34875,502620,65893411327,1.03055E+11
25000,Massachusetts,2016,All Industries Total,176395,2745204,1.96034E+11,4.41782E+11
25000,Massachusetts,2016,Construction,15163,121545,9130528266,15342781221
25000,Massachusetts,2018,Financial Activities,13665,181741,28186628768,1.24362E+11
25000,Massachusetts,2017,Education and Health Services,41424,747808,45423595011,53749017966
25000,Massachusetts,2018,Education and Health Services,44694,754185,46553003494,54970713991
25000,Massachusetts,2019,Other Services,17803,98096,4047525173,9602946322
25000,Massachusetts,2020,Other Services,17775,79165,3743342592,7981141973
25000,Massachusetts,2018,All Industries Total,184294,2821244,2.17791E+11,4.87679E+11
25000,Massachusetts,2020,All Industries Total,188541,2614241,2.3351E+11,5.00172E+11
25000,Massachusetts,2019,Financial Activities,13980,183744,28956715961,1.27684E+11
25000,Massachusetts,2018,Information,4086,85038,10560457851,28905713626
25000,Massachusetts,2020,Information,4536,83266,12228568836,32820786941
25000,Massachusetts,2016,Natural Resources and Mining,787,6353,430307030,898558655.7
25000,Massachusetts,2016,Professional and Business Services,33670,471116,48421723126,80940460797
25000,Massachusetts,2018,Professional and Business Services,34226,503631,57136118495,94331392206
25000,Massachusetts,2019,All Industries Total,187451,2864717,2.2995E+11,5.11273E+11
25000,Massachusetts,2019,Construction,16154,134773,11407375197,18720370085
25000,Massachusetts,2020,Leisure and Hospitality,16000,213618,6859670557,15716154172
25000,Massachusetts,2016,Manufacturing,5037,181245,16738070270,39485198233
25000,Massachusetts,2020,Natural Resources and Mining,694,7761,581807393,802691294.6
25000,Massachusetts,2016,Other Services,17335,93985,3485736523,8209996395
25000,Massachusetts,2019,Professional and Business Services,34686,520787,62443525008,1.02255E+11
25000,Massachusetts,2018,Public Administration,2930,103993,8535970678,46676908141
25000,Massachusetts,2016,Information,3703,82495,9143418687,28384470275
25000,Massachusetts,2016,Leisure and Hospitality,16086,296264,8043492413,18203988036
25000,Massachusetts,2018,Construction,15952,130070,10643003977,17750209327
25000,Massachusetts,2020,Construction,16018,125086,11029619952,18193426946
25000,Massachusetts,2017,Manufacturing,4971,170971,16367654610,39911881672
25000,Massachusetts,2017,Other Services,17542,95147,3596890479,8534233550
25000,Massachusetts,2017,Public Administration,2885,106605,8505050181,45220181193
9000,Connecticut,2018,All Industries Total,73716,980292,67817346903,1.7377E+11
9000,Connecticut,2019,Construction,5839,37068,2617431227,5148578574
9000,Connecticut,2018,Education and Health Services,8430,281789,16568935059,18455192032
9000,Connecticut,2017,Leisure and Hospitality,6820,115368,3010022985,6345709002
9000,Connecticut,2020,Manufacturing,2443,84274,7653254282,17149575220
9000,Connecticut,2019,Natural Resources and Mining,206,2998,131947237,412660168.9
9000,Connecticut,2018,Public Administration,933,26266,2028866124,13925962764
9000,Connecticut,2018,Information,1512,21314,2329194734,9958781993
9000,Connecticut,2020,Leisure and Hospitality,7174,84644,2457078638,5791277461
9000,Connecticut,2016,Other Services,10346,39159,1259786505,3073354624
9000,Connecticut,2019,Other Services,11752,40912,1420853864,3519992485
9000,Connecticut,2018,Professional and Business Services,14109,124600,11902601592,21911631759
9000,Connecticut,2019,Professional and Business Services,14428,123891,12260679565,22575947789
9000,Connecticut,2019,All Industries Total,75243,977436,69765561506,1.78595E+11
9000,Connecticut,2020,All Industries Total,76338,899677,69594865779,1.7157E+11
9000,Connecticut,2019,Information,1675,21226,2557040022,11261638434
9000,Connecticut,2020,Information,1919,19656,2781501170,11060361325
9000,Connecticut,2019,Leisure and Hospitality,7205,115559,3132793478,6740058549
9000,Connecticut,2017,Other Services,10735,39766,1319845702,3197393812
9000,Connecticut,2018,Other Services,11298,41094,1377757024,3361160501
9000,Connecticut,2020,Professional and Business Services,14755,117076,11863066462,21012675563
9000,Connecticut,2020,Public Administration,935,26380,2128000199,2393172347
9000,Connecticut,2017,All Industries Total,72120,976589,66647946000,1.65674E+11
9000,Connecticut,2020,Construction,5797,35436,2620989751,4509104582
9000,Connecticut,2016,Financial Activities,6691,61184,11144409520,45445145998
9000,Connecticut,2016,Information,1298,20759,2030165672,8439555963
9000,Connecticut,2017,Information,1406,20794,2099503515,8509721700
9000,Connecticut,2017,Manufacturing,2491,87743,7400826501,16703893096
9000,Connecticut,2019,Manufacturing,2451,88352,7697761088,16801036275
9000,Connecticut,2020,Other Services,8303,29480,1226656955,2891760874
9000,Connecticut,2017,Public Administration,942,26773,1973997452,13605182023
9000,Connecticut,2019,Public Administration,937,26305,2066823069,14209167002
9000,Connecticut,2017,Education and Health Services,8142,279701,16148660919,17770703963
9000,Connecticut,2016,Leisure and Hospitality,6735,113087,2890379586,6082588919
9000,Connecticut,2018,Leisure and Hospitality,7048,116272,3084810490,6547636639
9000,Connecticut,2020,Natural Resources and Mining,233,2977,134222679,298916525
9000,Connecticut,2016,Professional and Business Services,13527,125068,12128281834,21655913961
9000,Connecticut,2016,Trade Transportation and Utilities,14791,182126,9252707922,25658181911
9000,Connecticut,2018,Trade, Transportation, and Utilitie,14740,180429
9000,Connecticut,2016,All Industries Total,71102,976672,66416873132,1.65218E+11
9000,Connecticut,2016,Education and Health Services,8094,279187,15846092547,17309488269
9000,Connecticut,2018,Manufacturing,2451,87972,7481794142,16463438787
9000,Connecticut,2017,Professional and Business Services,13751,122934,11799476362,21531607322
9000,Connecticut,2016,Public Administration,945,27187,1970210560,13200734473
9000,Connecticut,2017,Trade Transportation and Utilities,14793,181967,9210192704,25495471328
9000,Connecticut,2017,Construction,5708,32496,2191884282,4675902683
9000,Connecticut,2017,Financial Activities,6818,60056,10965885507,44747507543
37000,North Carolina,2020,Construction,3733,24237,1210719660,2382819107
37000,North Carolina,2017,Natural Resources and Mining,625,4579,166443952,820173512
37000,North Carolina,2017,Other Services,2611,11140,305121913,936168944.9
37000,North Carolina,2019,Other Services,2777,11455,344575140,1042598612
